"year","facility_name","sample_station_name","latitude","longitude","sample_type_en","sample_type_fr","substance_name_en","substance_name_fr","statistical_quantity_en","statistical_quantity_fr","energy_below_1_mev","result","units","sample_category"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,50.04,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,136.81,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,280.1,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,157.95,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,79.94,"GBq","Abiotic"
2010,"SRBT","stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,102.73,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,104.37,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,71.97,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,46.52,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,71.6,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,94.27,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,56.87,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,51.84,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,137.73,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,180.34,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,76.04,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,293.38,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,259.92,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,263.07,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,214.02,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,277.02,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,528.18,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,195.99,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,105.51,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,141.54,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,125.46,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,131.27,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,186.43,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,178.53,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,111.54,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,168.65,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,186.77,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,267.88,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,283.09,"GBq","Abiotic"
