Year | Année,Facility Name | Nom de l'installation,Sample Station Name | Nom de la station d'échantillonnage,Latitude | Latitude,Longitude | Longitude,Sample Type (English) | Type d'échantillon (anglais),Sample Type (French) | Type d'échantillon (français),Substance Name (English) | Nom de substance (anglais),Substance Name (French) | Nom de substance (français),Statistical Quantity (English) | Quantité statistique (anglais),Statistical Quantity (French) | Quantité statistique (français),<,Result | Résultat,Units | Unités
2010,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Argon-41,Argon-41,Weekly Average,Moyenne Hebdomadaire,,8.98E+13,Bq/wk | Bq/sem
2010,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Weekly Average,Moyenne Hebdomadaire,,4.02E+05,Bq/wk | Bq/sem
2010,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Iodine-131,Iode-131,Weekly Average,Moyenne Hebdomadaire,,9.60E+05,Bq/wk | Bq/sem
2010,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Particulate gross alpha,Particules alpha brutes,Weekly Average,Moyenne Hebdomadaire,,1.07E+03,Bq/wk | Bq/sem
2010,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Particulate gross beta,Particules bêta brutes,Weekly Average,Moyenne Hebdomadaire,,6.64E+05,Bq/wk | Bq/sem
2010,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Tritium (HTO),Tritium (Eau tritiée),Weekly Average,Moyenne Hebdomadaire,,1.58E+12,Bq/wk | Bq/sem
2010,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Carbon-14,Carbone-14,Weekly Average,Moyenne Hebdomadaire,,3.14E+09,Bq/wk | Bq/sem
2011,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Argon-41,Argon-41,Weekly Average,Moyenne Hebdomadaire,,2.09E+14,Bq/wk | Bq/sem
2011,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Weekly Average,Moyenne Hebdomadaire,,1.00E+06,Bq/wk | Bq/sem
2011,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Iodine-131,Iode-131,Weekly Average,Moyenne Hebdomadaire,,3.10E+06,Bq/wk | Bq/sem
2011,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Particulate gross alpha,Particules alpha brutes,Weekly Average,Moyenne Hebdomadaire,,7.42E+02,Bq/wk | Bq/sem
2011,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Particulate gross beta,Particules bêta brutes,Weekly Average,Moyenne Hebdomadaire,,7.02E+05,Bq/wk | Bq/sem
2011,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Tritium (HTO),Tritium (Eau tritiée),Weekly Average,Moyenne Hebdomadaire,,1.66E+12,Bq/wk | Bq/sem
2011,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Carbon-14,Carbone-14,Weekly Average,Moyenne Hebdomadaire,,1.07E+10,Bq/wk | Bq/sem
2012,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Argon-41,Argon-41,Weekly Average,Moyenne Hebdomadaire,,1.79E+14,Bq/wk | Bq/sem
2012,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Weekly Average,Moyenne Hebdomadaire,,1.25E+06,Bq/wk | Bq/sem
2012,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Iodine-131,Iode-131,Weekly Average,Moyenne Hebdomadaire,,2.25E+06,Bq/wk | Bq/sem
2012,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Particulate gross alpha,Particules alpha brutes,Weekly Average,Moyenne Hebdomadaire,,3.66E+02,Bq/wk | Bq/sem
2012,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Particulate gross beta,Particules bêta brutes,Weekly Average,Moyenne Hebdomadaire,,8.06E+05,Bq/wk | Bq/sem
2012,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Tritium (HTO),Tritium (Eau tritiée),Weekly Average,Moyenne Hebdomadaire,,3.52E+12,Bq/wk | Bq/sem
2012,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Carbon-14,Carbone-14,Weekly Average,Moyenne Hebdomadaire,,1.22E+10,Bq/wk | Bq/sem
2013,Chalk River Laboratories,NRU Reactor,46.0554,-77.3628,Atmospheric Releases,Rejets atmosphériques,Argon-41,Argon-41,Weekly Average,Moyenne Hebdomadaire,,1.62E+14,Bq/wk | Bq/sem
