Year,Facility Name,Sample Station Name ,Latitude,Longitude,Sample Type en,Sample Type fr,Substance Name en,Substance Name fr,Statistical Quantity en,Statistical Quantity fr,energy_below_1_mev,Result,Units
2010,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Carbon-14,Carbone-14,Annual Total,Total annuel,,43.1,GBq/yr
2011,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Carbon-14,Carbone-14,Annual Total,Total annuel,,67.9,GBq/yr
2012,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Carbon-14,Carbone-14,Annual Total,Total annuel,,15.7,GBq/yr
2010,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.006,GBq/yr
2011,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.006,GBq/yr
2012,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.006,GBq/yr
2013,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.005,GBq/yr
2014,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.005,GBq/yr
2010,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Annual Total,Total annuel,,0.37,GBq/yr
2011,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Annual Total,Total annuel,,0.38,GBq/yr
2012,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Annual Total,Total annuel,,0.46,GBq/yr
2013,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Annual Total,Total annuel,,0.23,GBq/yr
2014,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Annual Total,Total annuel,,0.14,GBq/yr
2010,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-131,Iode-131,Annual Total,Total annuel,,0.99,GBq/yr
2011,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-131,Iode-131,Annual Total,Total annuel,,0.29,GBq/yr
