Year,Facility Name ,Sample Station Name,Latitude ,Longitude ,Sample Type en,Sample Type fr,Substance Name en,Substance Name fr,Statistical Quantity en,Statistical Quantity fr,energy_below_1_mev,Result,Units
2009,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Tritium (HTO),Tritium (Eau tritiée),Annual total,Total annuel,,2.33E+11,Bq
2009,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Carbon-14,Carbone-14,Annual total,Total annuel,,1.61E+07,Bq
2009,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Particulate gross beta,Particules bêta brutes,Annual total,Total annuel,,6.94E+06,Bq
2009,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Particulate gross gamma,Particules gamma brutes,Annual total,Total annuel,,4.01E+06,Bq
2010,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Tritium (HTO),Tritium (Eau tritiée),Annual total,Total annuel,,0.00E+00,Bq
2010,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Carbon-14,Carbone-14,Annual total,Total annuel,,0.00E+00,Bq
2010,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Particulate gross beta,Particules bêta brutes,Annual total,Total annuel,,0.00E+00,Bq
2010,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Particulate gross gamma,Particules gamma brutes,Annual total,Total annuel,,0.00E+00,Bq
2011,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Tritium (HTO),Tritium (Eau tritiée),Annual total,Total annuel,,1.30E+11,Bq
2011,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Carbon-14,Carbone-14,Annual total,Total annuel,,9.30E+06,Bq
2011,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Particulate gross beta,Particules bêta brutes,Annual total,Total annuel,,2.10E+06,Bq
2011,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Particulate gross gamma,Particules gamma brutes,Annual total,Total annuel,,1.50E+06,Bq
2012,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Tritium (HTO),Tritium (Eau tritiée),Annual total,Total annuel,,1.27E+11,Bq
2012,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Carbon-14,Carbone-14,Annual total,Total annuel,,3.75E+06,Bq
2012,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Particulate gross beta,Particules bêta brutes,Annual total,Total annuel,,1.01E+06,Bq
2012,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Particulate gross gamma,Particules gamma brutes,Annual total,Total annuel,,1.40E+06,Bq
2012,Nuclear Power Demonstration,Make-up Tank,46.1868,-77.6578,Liquid Releases,Rejets liquides,Tritium (HTO),Tritium (Eau tritiée),Annual total,Total annuel,,3.33E+08,Bq
2012,Nuclear Power Demonstration,Make-up Tank,46.1868,-77.6578,Liquid Releases,Rejets liquides,Particulate gross beta,Particules bêta brutes,Annual total,Total annuel,,1.11E+04,Bq
2013,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Tritium (HTO),Tritium (Eau tritiée),Annual total,Total annuel,,1.41E+11,Bq
2013,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Particulate Gross Beta/Gamma,Particules bêta/gamma brutes,Annual total,Total annuel,,9.76E+05,Bq
2013,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual total,Total annuel,,5.91E+08,Bq
2013,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual total,Total annuel,,3.64E+06,Bq
2013,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Carbon-14,Carbone-14,Annual total,Total annuel,,0.00E+00,Bq
2014,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Tritium (HTO),Tritium (Eau tritiée),Annual total,Total annuel,,9.60E+10,Bq
2014,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Particulate Gross Beta/Gamma,Particules bêta/gamma brutes,Annual total,Total annuel,,6.08E+06,Bq
2014,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Carbon-14,Carbone-14,Annual total,Total annuel,,9.84E+06,Bq
2015,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Tritium (HTO),Tritium (Eau tritiée),Annual total,Total annuel,,6.61E+10,Bq
2015,Nuclear Power Demonstration,Wells Area Sump,46.1868,-77.6578,Liquid Releases,Rejets liquides,Particulate Gross Beta/Gamma,Particules bêta/gamma brutes,Annual total,Total annuel,,4.86E+06,Bq
