Year | Année,Facility Name | Nom de l'installation,Sample Station Name | Nom de la station d'échantillonnage,Latitude | Latitude,Longitude | Longitude,Sample Type (English) | Type d'échantillon (anglais),Sample Type (French) | Type d'échantillon (français),Substance Name (English) | Nom de substance (anglais),Substance Name (French) | Nom de substance (français),Statistical Quantity (English) | Quantité statistique (anglais),Statistical Quantity (French) | Quantité statistique (français),<,Result | Résultat,Units | Unités
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,50.04,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,136.81,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,280.1,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,157.95,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,79.94,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,102.73,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,104.37,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,71.97,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,46.52,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,71.6,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,94.27,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,56.87,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,51.84,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,137.73,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,180.34,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,76.04,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,293.38,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,259.92,GBq
2010,SRBT,Stack,45.8054,-77.1180,Atmospheric Releases,Rejets atmosphériques,Tritium Oxide (HTO),Tritium (Eau tritiée),Weekly Total,Total hebdomadaire,,263.07,GBq
